Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.7727272727272727,0.7021276595744681,0.6111111111111112,0.6534653465346535,0.8180555555555555
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889
KNN,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7899074074074074
Decision Tree,0.6818181818181818,0.5531914893617021,0.48148148148148145,0.5148514851485149,0.6357407407407407
